age_group,max_self_ind,max_self_max_other,max_self_min_other,min_self_ind,min_self_max_other,min_self_min_other,max_other_ind,max_other_max_self,min_other_ind,min_other_min_self,max_social_ind,max_social_max_self,max_social_max_other,min_social_ind,min_social_max_self,min_social_max_other
0&1,0.0652173913043,0.0869565217391,0.347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2&3,0.0727272727273,0.0545454545455,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4&5,0.28125,0.21875,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0588235294118,0.333333333333,0.0392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
