age_group,max-amount-ind,min-amount-ind,max-prob-ind,max-prob-max-amount,min-prob-ind,min-prob-min-amount
0&1,0.444444444444,0.0222222222222,0.0222222222222,0.0444444444444,0.266666666667,0.266666666667
2&3,0.345454545455,0.0181818181818,0.0181818181818,0.0363636363636,0.254545454545,0.236363636364
4&5,0.1875,0.03125,0.03125,0.03125,0.125,0.125
U,0.078431372549,0.0,0.0,0.0,0.0392156862745,0.0392156862745
